date,marketCap,traceName
2011-12-19,2702119384992.13,Metals and Mining
2011-12-26,2642082921085.5,Metals and Mining
2012-01-03,2766919355159.59,Metals and Mining
2012-01-09,2785088867973.0205,Metals and Mining
2012-01-16,2914112917688.3193,Metals and Mining
2012-01-23,2994073461081.26,Metals and Mining
2012-01-30,3047015400012.17,Metals and Mining
2012-02-06,3268106324412.091,Metals and Mining
2012-02-13,3183320872239.7603,Metals and Mining
2012-02-20,3196654615807.0503,Metals and Mining
2012-02-27,3159028132852.98,Metals and Mining
2012-03-05,3199156977788.7705,Metals and Mining
2012-03-12,3110080442103.15,Metals and Mining
2012-03-19,3079208622869.599,Metals and Mining
2012-03-26,2956811208268.7197,Metals and Mining
2012-04-02,2893078580357.6094,Metals and Mining
2012-04-09,2834296510375.78,Metals and Mining
2012-04-16,2825449270188.9097,Metals and Mining
2012-04-23,2820848539507.16,Metals and Mining
2012-05-02,2803959220663.0396,Metals and Mining
2012-05-07,2556312763367.64,Metals and Mining
2012-05-14,2550874396286.68,Metals and Mining
2012-05-21,2495926920068.3496,Metals and Mining
2012-05-28,2461820480130.2397,Metals and Mining
2012-06-04,2479214607963.62,Metals and Mining
2012-06-13,2578200417723.0195,Metals and Mining
2012-06-18,2673934020260.53,Metals and Mining
2012-06-25,2581457178215.88,Metals and Mining
2012-07-02,2642062608284.36,Metals and Mining
2012-07-09,2633149361834.0596,Metals and Mining
2012-07-16,2613533997016.9297,Metals and Mining
2012-07-23,2513722224516.69,Metals and Mining
2012-07-30,2578476022173.6304,Metals and Mining
2012-08-06,2617000447877.9595,Metals and Mining
2012-08-13,2656928258552.3403,Metals and Mining
2012-08-20,2587957226706.7095,Metals and Mining
2012-08-27,2610119551592.67,Metals and Mining
2012-09-03,2469290969403.9297,Metals and Mining
2012-09-10,2562413796929.03,Metals and Mining
2012-09-17,2742746128505.2896,Metals and Mining
2012-09-24,2647657904774.7397,Metals and Mining
2012-10-01,2625294150292.1807,Metals and Mining
2012-10-08,2591127801968.3203,Metals and Mining
2012-10-15,2543877000915.31,Metals and Mining
2012-10-22,2525840975676.389,Metals and Mining
2012-10-29,2465452384755.8003,Metals and Mining
2012-11-06,2538089312699.8003,Metals and Mining
2012-11-12,2462873991785.1406,Metals and Mining
2012-11-19,2420416912763.79,Metals and Mining
2012-11-26,2442733858796.9795,Metals and Mining
2012-12-03,2474899937084.1597,Metals and Mining
2012-12-10,2587411052904.6704,Metals and Mining
2012-12-17,2621138986165.73,Metals and Mining
2012-12-24,2681484968636.99,Metals and Mining
2013-01-08,2760054187515.1504,Metals and Mining
